Designator,Mid X,Mid Y,Rotation,Layer
C100,120.5738,-69.0372,0,top
C101,125.5014,-80.0862,0,top
C102,140.6144,-63.627,270,top
C103,152.0444,-65.786,90,top
C104,155.1432,-59.9694,180,top
C105,173.6852,-57.785,0,top
C106,173.6852,-55.372,0,top
C107,179.1716,-63.3465,90,top
C108,177.6984,-69.5198,0,top
C109,177.673,-71.3232,0,top
C200,181.6134,-140.6444,0,top
C201,167.5638,-120.8532,180,top
C202,172.5212,-145.8303,270,top
C203,170.6162,-145.8314,270,top
C204,186.6138,-133.7045,270,top
C300,126.4158,-93.9038,180,top
C301,138.9634,-143.8656,0,top
D100,112.141,-61.595,270,top
D101,106.4514,-78.6383,270,top
D102,170.434,-51.054,180,top
D200,181.2798,-110.617,0,top
D300,127.9144,-101.346,0,top
D301,108.7802,-92.102999,270,top
D302,117.6956,-98.484999,270,top
D303,118.305201,-129.726999,270,top
D304,118.305201,-137.245399,90,top
IC100,175.6766,-61.17,180,top
J100,121.5244,-57.846399,180,top
J200,192.2232,-130.0172,90,top
J201,190.3662,-112.367,90,top
J300,111.552201,-98.226999,270,top
J301,128.2954,-143.2814,180,top
J302,111.8802,-129.1362,270,top
J303,111.8802,-111.617998,270,top
L100,156.6164,-65.0748,90,top
L101,175.641,-66.0894,270,top
PS100,160.8074,-50.3662,0,top
Q100,120.4594,-72.812,270,top
Q101,115.6993,-72.7608,0,top
R100,117.5512,-78.4098,0,top
R101,119.6086,-78.5114,90,top
R102,121.3358,-78.5236,270,top
R103,129.6294,-80.0862,0,top
R104,163.8974,-126.4766,180,top
R105,108.3056,-78.5876,270,top
R200,181.5891,-138.8918,180,top
R201,190.2206,-136.525,180,top
R202,186.7408,-126.9238,90,top
R300,133.8458,-97.7392,180,top
R301,136.9954,-95.885,180,top
R302,137.033,-93.1672,180,top
R303,137.0584,-91.5416,180,top
R304,129.7818,-93.9038,0,top
R305,110.7868,-92.077599,90,top
R306,148.2388,-145.6028,270,top
R307,143.3068,-142.9766,90,top
R308,124.1044,-143.129,90,top
R309,144.1958,-112.014,270,top
R310,144.1958,-115.1636,270,top
R311,144.1958,-118.3772,270,top
R312,144.1958,-121.5898,90,top
R313,144.1958,-124.7902,90,top
S200,181.3532,-144.5814,180,top
S201,167.6146,-115.7986,90,top
S300,127.9906,-96.7486,90,top
SW300,137.2304,-118.5037,270,top
U100,127.5796,-75.5488,270,top
U200,159.5374,-141.2526,180,top
U201,182.9363,-130.0328,90,top
U300,139.6238,-141.0462,180,top
